,VIX,DXY,VIX_ret,DXY_ret,rolling_corr,rolling_corr_mean,rolling_corr_std,corr_z_score
2013-03-25,58.53333333333334,82.828,0.02331002331002341,0.00548703505875503,-0.1427768830519782,,,
2013-03-26,56.53333333333334,82.881,-0.034168564920273314,0.0006398802337372889,-0.1489000490085429,,,
2013-03-27,53.2,83.221,-0.05896226415094341,0.004102267105850599,-0.15485288819571072,,,
2013-03-28,55.86666666666666,82.996,0.050125313283207795,-0.0027036445128033604,-0.09654213637320294,,,
2013-03-29,52.53333333333334,82.976,-0.05966587112171817,-0.00024097546869727982,-0.08804258188291414,,,
2013-04-01,54.266666666666666,82.733,0.03299492385786795,-0.0029285576552255943,-0.07308550762490294,,,
2013-04-02,57.333333333333336,82.924,0.05651105651105648,0.0023086313804649983,-0.06909206518551156,,,
2013-04-03,52.26666666666667,82.718,-0.08837209302325577,-0.002484202402199598,-0.06041759330291218,,,
2013-04-04,58.0,82.677,0.10969387755102034,-0.0004956599530936412,-0.056249495761515035,,,
2013-04-05,58.666666666666664,82.496,0.011494252873563093,-0.0021892424737232075,-0.09691054976359749,,,
2013-04-08,61.333333333333336,82.752,0.045454545454545636,0.003103180760279267,-0.08031517998678891,,,
2013-04-09,51.06666666666666,82.309,-0.16739130434782623,-0.005353344934261428,-0.04221449770309521,,,
2013-04-10,52.93333333333334,82.532,0.03655352480417773,0.0027093027493956257,-0.0409412684538163,,,
2013-04-11,42.13333333333333,82.247,-0.20403022670025195,-0.0034532060291765365,0.028514120872521045,,,
2013-04-12,39.86666666666667,82.311,-0.05379746835443033,0.0007781438836675925,0.07225458899044893,,,
2013-04-15,45.2,82.417,0.13377926421404696,0.0012877987146311387,0.07420394270516333,,,
2013-04-16,71.73333333333333,81.749,0.5870206489675516,-0.008105123942875991,-0.08904071082537417,,,
2013-04-17,59.6,82.684,-0.16914498141263945,0.011437448776131953,-0.15236167335846482,,,
2013-04-18,63.06666666666668,82.559,0.05816554809843422,-0.0015117797881089023,-0.15425845243655148,,,
2013-04-19,66.4,82.714,0.052854122621564414,0.0018774452209935344,-0.2040689455033663,,,
2013-04-22,54.13333333333334,82.676,-0.18473895582329314,-0.00045941436757979126,-0.19403014202754454,,,
2013-04-23,54.8,83.048,0.01231527093596041,0.00449949199283961,-0.18076665133115166,,,
2013-04-24,50.4,83.048,-0.08029197080291972,0.0,-0.186593091707006,,,
2013-04-25,50.13333333333334,82.744,-0.005291005291005124,-0.0036605336672768107,-0.17366842036936436,,,
2013-04-26,55.733333333333334,82.502,0.11170212765957444,-0.002924683360727154,-0.18872548910621656,,,
2013-04-29,60.666666666666664,82.147,0.0885167464114831,-0.004302925989672857,-0.16299176476434654,,,
2013-04-30,57.733333333333334,81.746,-0.04835164835164829,-0.004881492933400011,-0.13964763137710876,,,
2013-05-01,53.86666666666666,81.484,-0.06697459584295629,-0.0032050497883688855,-0.12961947450619143,,,
2013-05-02,60.8,82.224,0.12871287128712883,0.009081537479750823,-0.08526828198405098,,,
